sessionID,connectionTime,stationID,siteID,kWhDelivered,util_rate,hour,is_weekend,revenue_fixed,dynamic_tariff,revenue_dynamic,tariff_zone
2_39_78_362_2018-04-25 11:08:04.400812,2018-04-25 11:08:04+00:00,2-39-78-362,2.0,7.932,1.0,11,0,118.98,22.5,178.47,surge
2_39_95_27_2018-04-25 13:45:09.617470,2018-04-25 13:45:10+00:00,2-39-95-27,2.0,10.013,0.2668504445437838,13,0,150.195,10.5,105.1365,discount
2_39_79_380_2018-04-25 13:45:49.962001,2018-04-25 13:45:50+00:00,2-39-79-380,2.0,5.257,0.1179066646786939,13,0,78.85499999999999,10.5,55.198499999999996,discount
2_39_79_379_2018-04-25 14:37:06.460772,2018-04-25 14:37:06+00:00,2-39-79-379,2.0,5.177,0.1580518085233377,14,0,77.655,10.5,54.35849999999999,discount
2_39_79_381_2018-04-25 14:40:33.638896,2018-04-25 14:40:34+00:00,2-39-79-381,2.0,10.119,0.3579812984945951,14,0,151.785,11.89,120.31491,normal
2_39_139_28_2018-04-25 14:43:49.647430,2018-04-25 14:43:50+00:00,2-39-139-28,2.0,7.91,0.14934245134139926,14,0,118.65,10.5,83.055,discount
2_39_91_441_2018-04-25 14:47:41.776352,2018-04-25 14:47:42+00:00,2-39-91-441,2.0,15.294,0.9993186463774699,14,0,229.41,22.5,344.115,surge
2_39_79_377_2018-04-25 14:58:25.255583,2018-04-25 14:58:25+00:00,2-39-79-377,2.0,6.953,0.4436979306638001,14,0,104.295,13.95,96.99435,normal
2_39_79_382_2018-04-25 15:10:51.871020,2018-04-25 15:10:52+00:00,2-39-79-382,2.0,2.174,0.3086352983594736,15,0,32.61,10.71,23.283540000000002,normal
2_39_78_362_2018-04-25 15:12:10.901351,2018-04-25 15:12:11+00:00,2-39-78-362,2.0,2.439,1.0,15,0,36.585,22.5,54.8775,surge
2_39_78_366_2018-04-25 15:14:06.329009,2018-04-25 15:14:06+00:00,2-39-78-366,2.0,6.955,0.999164159144099,15,0,104.325,22.5,156.4875,surge
2_39_91_437_2018-04-25 15:14:41.260754,2018-04-25 15:14:41+00:00,2-39-91-437,2.0,3.249,0.09458318852092747,15,0,48.735,10.5,34.1145,discount
2_39_78_361_2018-04-25 15:14:48.537248,2018-04-25 15:14:49+00:00,2-39-78-361,2.0,2.72,0.16830217817959525,15,0,40.800000000000004,10.5,28.560000000000002,discount
2_39_78_360_2018-04-25 15:20:55.688491,2018-04-25 15:20:56+00:00,2-39-78-360,2.0,2.575,0.09191899331498231,15,0,38.625,10.5,27.0375,discount
2_39_125_21_2018-04-25 15:30:31.466431,2018-04-25 15:30:31+00:00,2-39-125-21,2.0,5.4,0.7944300518134716,15,0,81.0,22.37,120.79800000000002,normal
2_39_78_365_2018-04-25 15:31:42.314475,2018-04-25 15:31:42+00:00,2-39-78-365,2.0,4.929,0.30987534258686233,15,0,73.935,10.74,52.93746,normal
2_39_127_19_2018-04-25 15:33:45.414350,2018-04-25 15:33:45+00:00,2-39-127-19,2.0,4.043,0.24797933758735943,15,0,60.645,10.5,42.4515,discount
2_39_79_383_2018-04-25 15:44:41.818763,2018-04-25 15:44:42+00:00,2-39-79-383,2.0,2.49,0.21497067312168325,15,0,37.35,10.5,26.145000000000003,discount
2_39_89_25_2018-04-25 15:48:22.693006,2018-04-25 15:48:23+00:00,2-39-89-25,2.0,5.95,0.262859869572133,15,0,89.25,10.5,62.475,discount
